feature,class,count,precision,recall,fbeta
workclass,Local-gov,410,0.711340206185567,0.6,0.6509433962264151
workclass,Self-emp-not-inc,480,0.7444444444444445,0.5153846153846153,0.609090909090909
workclass,Private,4547,0.7337209302325581,0.6335341365461847,0.6799568965517241
workclass,?,394,0.6666666666666666,0.3333333333333333,0.4444444444444444
workclass,State-gov,257,0.7758620689655172,0.625,0.6923076923076923
workclass,Federal-gov,170,0.7818181818181819,0.7049180327868853,0.7413793103448276
workclass,Self-emp-inc,250,0.8308823529411765,0.773972602739726,0.8014184397163121
workclass,Without-pay,2,1.0,1.0,1.0
workclass,Never-worked,3,1.0,1.0,1.0
education,Masters,341,0.8052631578947368,0.8181818181818182,0.8116710875331565
education,10th,179,0.5714285714285714,0.2857142857142857,0.38095238095238093
education,Some-college,1429,0.6744186046511628,0.5471698113207547,0.6041666666666666
education,HS-grad,2142,0.6244343891402715,0.4169184290030212,0.5
education,Bachelors,1034,0.7801932367149759,0.7193763919821826,0.7485515643105447
education,Assoc-voc,282,0.6111111111111112,0.4782608695652174,0.5365853658536586
education,11th,259,1.0,0.3333333333333333,0.5
education,5th-6th,68,1.0,0.25,0.4
education,9th,106,1.0,0.2,0.33333333333333337
education,1st-4th,31,1.0,0.0,0.0
education,Assoc-acdm,210,0.7551020408163265,0.6271186440677966,0.6851851851851852
education,7th-8th,136,1.0,0.07142857142857142,0.13333333333333333
education,Prof-school,113,0.8555555555555555,0.9390243902439024,0.8953488372093023
education,12th,94,1.0,0.375,0.5454545454545454
education,Doctorate,80,0.9142857142857143,0.9411764705882353,0.9275362318840579
education,Preschool,9,1.0,1.0,1.0
marital_status,Separated,206,1.0,0.5,0.6666666666666666
marital_status,Married-civ-spouse,2992,0.7406199021207178,0.6735905044510386,0.7055167055167055
marital_status,Divorced,870,0.8048780487804879,0.36666666666666664,0.5038167938931297
marital_status,Never-married,2138,0.7560975609756098,0.3522727272727273,0.4806201550387597
marital_status,Widowed,223,1.0,0.25,0.4
marital_status,Married-spouse-absent,79,1.0,0.25,0.4
marital_status,Married-AF-spouse,5,1.0,0.0,0.0
occupation,Prof-specialty,851,0.7951482479784366,0.7583547557840618,0.7763157894736842
occupation,Farming-fishing,210,0.6666666666666666,0.2962962962962963,0.41025641025641024
occupation,Machine-op-inspct,402,0.5555555555555556,0.32608695652173914,0.410958904109589
occupation,?,397,0.6666666666666666,0.3333333333333333,0.4444444444444444
occupation,Other-service,652,1.0,0.2222222222222222,0.3636363636363636
occupation,Transport-moving,326,0.6153846153846154,0.375,0.46601941747572817
occupation,Sales,726,0.7687861271676301,0.642512077294686,0.7000000000000001
occupation,Exec-managerial,771,0.7878787878787878,0.7546174142480211,0.77088948787062
occupation,Adm-clerical,776,0.6891891891891891,0.4636363636363636,0.5543478260869564
occupation,Craft-repair,818,0.6190476190476191,0.5027624309392266,0.5548780487804877
occupation,Tech-support,174,0.7090909090909091,0.7090909090909091,0.7090909090909091
occupation,Handlers-cleaners,273,0.625,0.3333333333333333,0.43478260869565216
occupation,Protective-serv,107,0.7391304347826086,0.5862068965517241,0.6538461538461539
occupation,Priv-house-serv,30,1.0,1.0,1.0
relationship,Unmarried,714,0.7916666666666666,0.34545454545454546,0.4810126582278481
relationship,Husband,2623,0.7400185701021356,0.6742808798646363,0.7056219566179726
relationship,Wife,328,0.7379310344827587,0.6772151898734177,0.7062706270627063
relationship,Other-relative,192,1.0,0.3333333333333333,0.5
relationship,Not-in-family,1642,0.8088235294117647,0.3691275167785235,0.5069124423963134
relationship,Own-child,1014,1.0,0.2222222222222222,0.3636363636363636
race,White,5573,0.7421487603305785,0.6382373845060412,0.6862820022927015
race,Black,641,0.75,0.47191011235955055,0.5793103448275861
race,Amer-Indian-Eskimo,66,1.0,0.3333333333333333,0.5
race,Asian-Pac-Islander,182,0.7872340425531915,0.6727272727272727,0.7254901960784313
race,Other,51,1.0,0.5,0.6666666666666666
sex,Female,2155,0.7528735632183908,0.5504201680672269,0.6359223300970874
sex,Male,4358,0.7443280977312391,0.6413533834586466,0.6890145395799677
native_country,United-States,5864,0.7396694214876033,0.6206657420249653,0.6749622926093515
native_country,England,18,0.8333333333333334,1.0,0.9090909090909091
native_country,Guatemala,16,1.0,0.0,0.0
native_country,Puerto-Rico,30,1.0,1.0,1.0
native_country,Germany,20,0.5,0.75,0.6
native_country,Mexico,122,0.0,0.0,1.0
native_country,Thailand,4,1.0,1.0,1.0
native_country,?,111,0.9032258064516129,0.7777777777777778,0.835820895522388
native_country,Outlying-US(Guam-USVI-etc),3,1.0,1.0,1.0
native_country,Japan,17,1.0,0.7142857142857143,0.8333333333333333
native_country,Philippines,28,1.0,0.7142857142857143,0.8333333333333333
native_country,Italy,13,0.5,0.25,0.3333333333333333
native_country,Cambodia,5,1.0,1.0,1.0
native_country,India,21,0.7777777777777778,0.7,0.7368421052631577
native_country,Greece,7,1.0,0.0,0.0
native_country,Portugal,7,1.0,0.5,0.6666666666666666
native_country,Taiwan,10,0.6666666666666666,0.8,0.7272727272727272
native_country,Columbia,14,0.5,1.0,0.6666666666666666
native_country,Jamaica,18,0.0,1.0,0.0
native_country,Vietnam,12,1.0,1.0,1.0
native_country,Yugoslavia,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
native_country,Cuba,25,1.0,0.75,0.8571428571428571
native_country,Poland,13,0.6666666666666666,1.0,0.8
native_country,Canada,21,1.0,0.6666666666666666,0.8
native_country,Dominican-Republic,17,1.0,0.0,0.0
native_country,Ireland,7,1.0,1.0,1.0
native_country,Peru,2,1.0,1.0,1.0
native_country,El-Salvador,19,1.0,0.5,0.6666666666666666
native_country,Haiti,10,1.0,1.0,1.0
native_country,China,13,0.6666666666666666,0.6666666666666666,0.6666666666666666
native_country,France,3,1.0,0.0,0.0
native_country,Nicaragua,4,1.0,1.0,1.0
native_country,Iran,8,0.6666666666666666,1.0,0.8
native_country,South,7,0.5,1.0,0.6666666666666666
native_country,Hungary,3,1.0,1.0,1.0
native_country,Ecuador,6,1.0,1.0,1.0
native_country,Honduras,4,1.0,1.0,1.0
native_country,Hong,1,1.0,1.0,1.0
native_country,Trinadad&Tobago,3,1.0,1.0,1.0
native_country,Scotland,1,1.0,0.0,0.0
native_country,Laos,1,0.0,1.0,0.0
